frame,present_frame,present_count,present_reason,emulated_timestamp,intended_offset_ms,enqueue_offset_ms,queue_delay_ms,actual_offset_ms,cpu_slices,cpu_throttle_calls,last_throttle_target_offset_ms,last_throttle_end_offset_ms,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
58,57,213,1,2720923920,0.103500,-0.054167,0.054167,0.103625,614,2,-0.754500,-0.754375,11.562708,11.519181,6.596226,0.000000,5.030708,5.026638,0.003528,0.032000,0.083292,0.643541,633,8147306,145186,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
59,58,215,1,2729032020,-4.896334,-0.051667,0.051667,0.047041,614,0,-22.437667,-22.437542,21.683167,21.519972,21.495626,0.000000,0.000376,0.000000,0.000000,0.046833,0.013042,0.959292,646,8071613,140154,0,302,0,302,0,0,0,0,0,0,23191,14400,4680,4111,0
60,59,217,1,2737140120,0.115667,-0.041375,0.041375,0.115708,614,2,-0.742333,-0.741250,11.671333,11.629936,6.527731,0.000000,5.192084,5.186556,0.005444,0.030042,0.094166,0.302042,635,8138069,144019,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
61,60,219,1,2745248220,-4.980250,-0.067875,0.067875,0.034250,615,0,-22.521583,-22.520500,21.779250,21.593090,21.592528,0.000000,0.000417,0.000000,0.000000,0.034000,0.017583,0.697125,640,8071763,147746,0,302,0,302,0,0,0,0,0,0,21307,14400,3510,3397,0
62,61,221,1,2753356320,0.126458,-0.057000,0.057000,0.153292,618,2,-0.731542,-0.731417,11.576625,11.594462,6.482586,0.000000,5.117792,5.081722,0.035903,0.033125,0.136542,0.891126,645,8168823,134775,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
63,62,223,1,2761464420,-4.929916,-0.071875,0.071875,0.044959,612,0,-22.471250,-22.471125,21.739708,21.511954,21.495953,0.000000,0.000293,0.000000,0.000000,0.044792,0.008875,0.934792,637,8040871,145094,0,302,0,302,0,0,0,0,0,0,21298,14400,3510,3388,0
64,63,225,1,2769572520,0.092208,-0.055834,0.055834,0.097583,620,2,-0.765792,-0.759250,11.661209,11.658680,6.501561,0.000000,5.242249,5.225430,0.016778,0.024958,0.140042,0.447041,640,8153662,142766,0,2,0,2,0,0,0,0,0,0,6547,0,4139,2408,0
65,64,227,1,2777680620,-4.725125,-0.055000,0.055000,0.037417,614,0,-22.266458,-22.259916,21.500666,21.298693,21.303637,0.000000,0.000333,0.000000,0.000000,0.037209,0.016041,0.908625,646,8056000,137970,0,302,0,302,0,0,0,0,0,0,21957,14400,4051,3506,0
66,65,229,1,2785788720,0.097167,-0.056250,0.056250,0.103542,615,2,-0.760833,-0.758167,11.861042,11.833497,6.450426,0.000000,5.408249,5.349264,0.058902,0.034583,0.096000,0.611250,635,8153599,140465,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
67,66,231,1,2793896820,-4.928417,-0.058417,0.058417,0.040041,614,0,-22.469750,-22.467084,21.708917,21.526227,21.489067,0.000000,0.000334,0.000000,0.000000,0.039958,0.008292,0.867708,639,8056261,142595,0,302,0,302,0,0,0,0,0,0,21357,14400,3510,3446,0
68,67,233,1,2802004920,0.125208,-0.039625,0.039625,0.125333,614,2,-0.732792,-0.732792,11.629708,11.592223,6.366287,0.000000,5.281749,5.254054,0.027612,0.033833,0.100875,0.359541,641,8137986,134467,0,2,0,2,0,0,0,0,0,0,7149,0,4680,2470,0
69,68,235,1,2810113020,-5.805541,-0.056583,0.056583,0.055667,616,0,-23.346875,-23.346875,22.614083,22.475460,22.328323,0.000000,0.000458,0.000000,0.000000,0.055417,0.029833,0.669333,641,8087177,143461,0,302,0,302,0,0,0,0,0,0,21312,14400,3510,3402,0
70,69,237,1,2818221120,0.115125,-0.045583,0.045583,0.115292,612,2,-0.742875,-0.742750,10.762667,10.691742,6.731548,0.000000,4.160417,4.159847,0.000320,0.034417,0.105000,0.291166,637,8091889,130157,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
71,70,239,1,2826329220,-5.196667,-0.039958,0.039958,0.036500,616,0,-22.738000,-22.737875,21.995125,21.802092,21.790916,0.000000,0.000251,0.000000,0.000000,0.036292,0.009000,0.870500,643,8086943,140025,0,302,0,302,0,0,0,0,0,0,21527,14400,3654,3473,0
72,71,241,1,2834437320,0.123209,-0.058291,0.058291,0.127625,618,2,-0.734791,-0.734708,11.363458,11.373749,6.639359,0.000000,4.914291,4.913681,0.000444,0.030875,0.137625,0.290292,638,8184444,139211,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
73,72,243,1,2842545420,-4.703542,-0.057459,0.057459,0.039958,610,0,-22.244875,-22.244792,21.510084,21.296915,21.285153,0.000000,0.000208,0.000000,0.000000,0.039666,0.018292,0.761417,640,8010081,131860,0,302,0,302,0,0,0,0,0,0,22924,14400,4536,3988,0
74,73,245,1,2850653520,0.106166,-0.047959,0.047959,0.112250,619,2,-0.751834,-0.751792,11.873625,11.885824,6.495044,0.000000,5.428751,5.361847,0.066737,0.025666,0.146875,0.618709,641,8199604,138370,0,2,0,2,0,0,0,0,0,0,5610,0,3654,1956,0
75,74,247,1,2858761620,-4.842083,-0.056500,0.056500,0.040750,611,0,-22.383417,-22.383375,21.631583,21.408998,21.414917,0.000000,0.000293,0.000000,0.000000,0.040542,0.009125,0.737501,635,8040867,135623,0,302,0,302,0,0,0,0,0,0,21374,14400,3510,3464,0
76,75,249,1,2866869720,0.095375,-0.031417,0.031417,0.095375,613,2,-0.762625,-0.762500,11.745875,11.679042,6.354617,0.000000,5.383959,5.327389,0.056528,0.026375,0.076792,0.447500,639,8107101,125415,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
77,76,251,1,2874977820,-4.572959,-0.038959,0.038959,0.030500,614,0,-22.114292,-22.114167,21.351667,21.203255,21.193032,0.000000,0.000168,0.000000,0.000000,0.030333,0.018917,0.774750,640,8087154,138258,0,302,0,302,0,0,0,0,0,0,20602,14400,3510,2692,0
