frame,present_frame,present_count,present_reason,emulated_timestamp,intended_offset_ms,output_start_offset_ms,sync_gpu_ms,enqueue_offset_ms,queue_delay_ms,actual_offset_ms,cpu_slices,cpu_throttle_calls,last_throttle_target_offset_ms,last_throttle_end_offset_ms,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
60,59,217,1,2737140120,0.158209,-0.031666,0.000041,-0.031625,0.031625,0.158292,617,2,-0.699791,-0.695291,11.959625,11.996710,6.973153,0.000000,5.549750,5.545056,0.004611,0.030834,0.145750,0.288916,639,8188982,148324,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
61,60,219,1,2745248220,-4.709458,-0.053458,0.000000,-0.053458,0.053458,0.033125,612,0,-22.250791,-22.246291,21.551000,21.289728,21.289095,0.000000,0.000374,0.000000,0.000000,0.033042,0.009417,0.757709,636,8020859,143445,0,302,0,302,0,0,0,0,0,0,21307,14400,3510,3397,0
62,61,221,1,2753356320,-0.310125,-0.049916,0.000083,-0.049833,0.049833,0.088667,617,1,-1.771903,-1.680875,12.284000,12.257967,6.696538,0.000000,5.443040,5.351638,0.091028,0.088375,0.036750,0.593167,643,8153378,133460,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
63,62,223,1,2761464420,-5.409000,-0.041584,0.000084,-0.041500,0.041500,0.052708,613,0,-23.554112,-23.463084,21.782209,21.630868,21.592339,0.000000,0.000210,0.000000,0.000000,0.052500,0.011333,0.924499,638,8071781,147708,0,302,0,302,0,0,0,0,0,0,21298,14400,3510,3388,0
64,63,225,1,2769572520,0.110417,-0.057041,0.000125,-0.056916,0.056916,0.110584,622,2,-0.747583,-0.747500,11.163916,11.136867,6.677579,0.000000,4.586916,4.581930,0.004944,0.030709,0.119250,0.475500,642,8153564,141773,0,2,0,2,0,0,0,0,0,0,5705,0,3510,2195,0
65,64,227,1,2777680620,-4.644709,-0.062667,0.000167,-0.062500,0.062500,0.032625,613,0,-22.186042,-22.185959,21.438459,21.213210,21.200706,0.000000,0.000167,0.000000,0.000000,0.032500,0.007750,0.937042,645,8040674,136368,0,302,0,302,0,0,0,0,0,0,22799,14400,4680,3719,0
66,65,229,1,2785788720,0.124709,-0.055333,0.000167,-0.055166,0.055166,0.124792,617,2,-0.733291,-0.733166,11.913916,11.937728,6.461185,0.000000,5.474709,5.394098,0.080528,0.029709,0.126208,0.480333,637,8184454,143083,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
67,66,231,1,2793896820,-4.517625,-0.056292,0.000084,-0.056208,0.056208,0.036083,612,0,-22.058958,-22.058833,21.325667,21.115726,21.119522,0.000000,0.000209,0.000000,0.000000,0.035833,0.014209,1.085875,637,8040824,140827,0,302,0,302,0,0,0,0,0,0,21402,14400,3510,3492,0
68,67,233,1,2802004920,0.084791,-0.040834,0.000042,-0.040792,0.040792,0.085166,616,3,-0.773209,-0.731209,12.080917,12.041089,6.409411,0.000000,5.705208,5.551958,0.153250,0.024500,0.099416,0.618542,643,8137967,133277,0,2,0,2,0,0,0,0,0,0,7104,0,4680,2424,0
69,68,235,1,2810113020,-4.421916,-0.058625,0.000084,-0.058541,0.058541,0.039709,616,0,-21.963250,-21.921250,21.190041,21.012212,21.000701,0.000000,0.000168,0.000000,0.000000,0.039542,0.010750,1.222583,641,8071756,142151,0,302,0,302,0,0,0,0,0,0,21312,14400,3510,3402,0
70,69,237,1,2818221120,0.164625,-0.034542,0.000042,-0.034500,0.034500,0.164750,614,2,-1.297153,-1.167625,12.096792,12.126955,6.398936,0.000000,5.771625,5.632916,0.138626,0.026250,0.157000,0.610500,640,8138188,131978,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
71,70,239,1,2826329220,-4.386000,-0.040208,0.000125,-0.040083,0.040083,0.039000,613,0,-22.531111,-22.401583,21.233958,20.986549,20.948532,0.000000,0.000374,0.000000,0.000000,0.038792,0.010750,0.905459,639,8056049,139529,0,302,0,302,0,0,0,0,0,0,21323,14400,3510,3413,0
72,71,241,1,2834437320,0.146000,-0.059167,0.000167,-0.059000,0.059000,0.146166,618,3,-0.712000,-0.711875,12.151334,12.151159,6.502164,0.000000,5.798625,5.691917,0.106708,0.026541,0.148542,0.292000,638,8184477,139169,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
