frame,present_frame,present_count,present_reason,emulated_timestamp,intended_offset_ms,output_start_offset_ms,sync_gpu_ms,enqueue_offset_ms,queue_delay_ms,actual_offset_ms,cpu_slices,cpu_throttle_calls,last_throttle_target_offset_ms,last_throttle_end_offset_ms,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
51,50,199,1,2664167220,-4.807041,-0.054541,0.000125,-0.054416,0.054416,0.036334,614,0,-22.348375,-22.348250,21.603541,21.400125,21.364370,0.000000,0.000249,0.000000,0.000000,0.036125,0.016542,1.235582,640,8056268,154001,0,302,0,302,0,0,0,0,0,0,21592,14400,3510,3682,0
52,51,201,1,2672275320,0.070292,-0.052791,0.000125,-0.052666,0.052666,0.070417,614,2,-0.787708,-0.758583,11.806000,11.701091,6.644167,0.000000,5.165417,5.136055,0.029278,0.032417,0.053708,0.609000,634,8107267,148877,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
53,52,203,1,2680383420,-4.833084,-0.034250,0.000041,-0.034209,0.034209,0.044125,616,0,-22.374417,-22.345292,21.586709,21.473836,21.446393,0.000000,0.000249,0.000000,0.000000,0.043916,0.015959,1.270750,647,8087031,147144,0,302,0,302,0,0,0,0,0,0,23329,14400,4680,4249,0
54,53,205,1,2688491520,0.074792,-0.057333,0.000125,-0.057208,0.057208,0.074875,615,2,-0.783208,-0.770875,11.775458,11.691003,6.655252,0.000000,5.119916,5.107431,0.012402,0.028333,0.053417,0.628167,635,8138086,147017,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55,54,207,1,2696599620,-4.859500,-0.057792,0.000167,-0.057625,0.057625,0.041333,615,0,-22.400833,-22.388500,21.617625,21.484695,21.479046,0.000000,0.000209,0.000000,0.000000,0.041208,0.009500,1.109291,640,8087198,153746,0,302,0,302,0,0,0,0,0,0,21458,14400,3510,3548,0
56,55,209,1,2704707720,0.114916,-0.056917,0.000125,-0.056792,0.056792,0.115041,618,2,-0.743084,-0.741125,11.708917,11.680664,6.579747,0.000000,5.108876,5.101347,0.007362,0.030416,0.100042,0.638834,645,8153412,137725,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
57,56,211,1,2712815820,-4.758000,-0.054542,0.000250,-0.054292,0.054292,0.047916,612,0,-22.299334,-22.297375,21.556250,21.376497,21.359953,0.000000,0.000290,0.000000,0.000000,0.047625,0.013625,1.192500,638,8056271,149253,0,302,0,302,0,0,0,0,0,0,21451,14400,3510,3541,0
58,57,213,1,2720923920,0.076375,-0.095583,0.000166,-0.095417,0.095417,0.449625,628,2,-0.781625,-0.781500,11.848958,12.128426,7.569067,0.000000,5.155290,5.137263,0.017986,0.449500,0.008583,0.301500,653,8323274,156332,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
59,58,215,1,2729032020,-4.970542,-0.055875,0.000125,-0.055750,0.055750,0.042625,600,0,-22.511875,-22.511750,21.730250,21.235633,21.220048,0.000000,0.000292,0.000000,0.000000,0.042375,0.017792,0.916292,624,7886430,129335,0,302,0,302,0,0,0,0,0,0,21389,14400,3510,3479,0
60,59,217,1,2737140120,0.103875,-0.057000,0.000250,-0.056750,0.056750,0.103875,614,2,-0.754125,-0.754000,11.608917,11.559678,6.660093,0.000000,4.992876,4.992515,0.000236,0.029500,0.090541,0.296291,635,8138086,144023,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
61,60,219,1,2745248220,-4.863250,-0.055750,0.000042,-0.055708,0.055708,0.047542,615,0,-22.404583,-22.404458,21.650458,21.491698,21.447827,0.000000,0.000291,0.000000,0.000000,0.047292,0.016791,0.937292,640,8071751,147743,0,302,0,302,0,0,0,0,0,0,21307,14400,3510,3397,0
62,61,221,1,2753356320,0.074333,-0.059458,0.000125,-0.059333,0.059333,0.074417,616,1,-1.387445,-1.364208,11.745750,11.703175,6.692011,0.000000,5.041917,5.018347,0.023237,0.031000,0.081833,0.634541,643,8137958,132164,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
