frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks
70701,16.871833,16.720651,11.040526,0.000000,5.796833,5.667946,0.128804,0.037000,0.010209,1.221500,642,8081780,133775,0,7210
70702,16.653625,16.529170,10.949326,0.000000,6.029041,5.920029,0.108929,0.045625,0.011625,0.448875,630,8064767,129653,0,5408
70703,16.825334,16.714132,11.049653,0.000000,6.546291,6.418404,0.127721,0.034375,0.016583,0.931375,632,8095728,120287,0,5408
70704,16.586958,16.422421,10.755448,0.000000,6.183085,6.056655,0.126346,0.032083,0.009167,0.447375,641,8070925,126568,0,7210
70705,16.733250,16.650545,11.067086,0.000000,6.029917,5.924737,0.105096,0.035417,0.032041,0.742334,632,8080313,129869,0,5408
70706,16.497542,16.340182,10.656127,0.000000,6.553250,6.428571,0.124554,0.028958,0.008625,0.606292,629,8064705,117801,0,5408
70707,16.938250,16.819379,11.124414,0.000000,6.391293,6.259488,0.131721,0.060000,0.017916,0.642417,641,8071001,127536,0,7210
70708,16.657750,16.561161,11.291836,0.000000,5.615583,5.615029,0.000429,0.056125,0.013875,1.248749,632,8095678,129614,0,5408
70709,16.711125,16.575043,10.772082,0.000000,6.361041,6.240320,0.120638,0.049625,0.022458,0.309458,653,8080231,118696,0,5408
70710,16.661666,16.509288,10.786912,0.000000,6.096252,5.982030,0.114138,0.047834,0.013458,1.289250,638,8055589,126577,0,7210
70711,16.741875,16.635673,11.052542,0.000000,5.800625,5.687654,0.112846,0.053042,0.012708,0.289584,633,8095759,129838,0,5408
70712,16.557959,16.432006,10.339904,0.000000,6.741458,6.560279,0.181096,0.042416,0.014375,0.947583,631,8080140,118046,0,5408
70713,16.315250,16.183932,10.252407,0.000000,6.662542,6.518321,0.144137,0.042750,0.017333,0.300917,646,8099495,130272,0,7667
70714,16.868166,16.743428,12.711742,0.000000,4.277167,4.276751,0.000291,0.043917,0.027958,0.940750,634,8064762,184952,0,5408
70715,16.715417,16.621012,11.427982,0.000000,6.314959,6.311919,0.003040,0.059417,0.025708,0.921291,638,8087753,133599,0,7006
70716,16.699958,16.554957,10.731286,0.000000,5.876916,5.729487,0.147388,0.042459,0.011791,0.658084,632,8063472,141289,0,5612
70717,16.674000,16.532504,10.682075,0.000000,6.055083,5.903570,0.151430,0.047167,0.009792,1.261792,632,8064789,140969,0,5408
70718,16.672959,16.563170,10.977154,0.000000,6.355167,6.348210,0.006957,0.054791,0.012250,0.308583,641,8086492,132507,0,7210
70719,16.748625,16.637824,10.792682,0.000000,5.982043,5.807905,0.174054,0.045416,0.045250,1.286333,633,8080246,142893,0,5408
70720,16.702208,16.594412,10.772508,0.000000,5.819793,5.658571,0.161138,0.053625,0.022792,0.610292,655,8085096,143983,0,7449
70721,16.719125,16.571990,10.547113,0.000000,6.401292,6.233071,0.168096,0.054292,0.014000,0.958167,637,8040108,131342,0,7210
70722,16.566167,16.461833,10.676268,0.000000,5.843375,5.683905,0.159387,0.050958,0.013500,0.651125,634,8095666,143298,0,5408
70723,16.736291,16.617635,10.752648,0.000000,6.041291,5.890404,0.150804,0.064084,0.022166,1.191334,632,8080249,141067,0,5408
70724,16.595917,16.464540,10.488746,0.000000,6.437666,6.263820,0.173763,0.041833,0.012792,1.260750,638,8055532,131446,0,7210
70725,16.796292,16.668949,10.865459,0.000000,5.950251,5.849238,0.100888,0.051666,0.013792,0.657458,632,8091755,142296,0,5408
70726,16.626333,16.538305,10.918327,0.000000,5.557167,5.457195,0.099388,0.046875,0.042333,1.100791,633,8084254,140731,0,5408
70727,16.716667,16.563246,10.542370,0.000000,6.404375,6.238029,0.166262,0.046291,0.019125,0.290583,639,8055440,131724,0,7210
