frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other
17580,16.684333,16.565785,11.136829,0.000000,5.445166,5.358263,0.086695,0.068625,0.028625,1.292001,633,8080126,145026,0,5408,0,2,5406,0,3510,1896,0,0
17581,16.549625,16.410659,10.997454,0.000000,5.438917,5.362639,0.076028,0.058250,0.018125,0.643000,641,8069278,148758,0,7552,0,2,7550,0,4680,2870,0,0
17582,16.814042,16.693424,12.679170,0.000000,4.305625,4.303513,0.001612,0.078000,0.018500,0.946541,634,8095594,171076,0,5408,0,2,5406,0,3510,1896,0,0
17583,16.705541,16.599079,11.273999,0.000000,5.375375,5.304888,0.070196,0.077542,0.038833,0.649167,633,8080260,146940,0,5408,0,2,5406,0,3510,1896,0,0
17584,16.679834,16.556674,11.134452,0.000000,5.433000,5.362264,0.070444,0.060291,0.043500,0.943625,642,8070970,147124,0,7210,0,2,7208,0,4680,2528,0,0
17585,16.637375,16.456496,11.231308,0.000000,5.291875,5.240847,0.050736,0.061166,0.032042,0.818459,628,8049346,146542,0,5408,0,2,5406,0,3510,1896,0,0
17586,16.727291,16.675286,11.327112,0.000000,5.361958,5.310679,0.050987,0.078667,0.016708,0.613583,634,8095652,147206,0,5408,0,2,5406,0,3510,1896,0,0
17587,16.653709,16.485341,10.884002,0.000000,5.622584,5.509222,0.112986,0.059125,0.028583,1.267125,639,8071004,144645,0,7210,0,2,7208,0,4680,2528,0,0
17588,16.629833,16.525513,10.897038,0.000000,5.648751,5.523222,0.125320,0.058375,0.012833,0.611042,628,8049373,145635,0,5408,0,2,5406,0,3510,1896,0,0
17589,16.772167,16.674398,11.285017,0.000000,5.415124,5.352596,0.062237,0.064416,0.012917,1.253584,635,8111091,145546,0,5408,0,2,5406,0,3510,1896,0,0
17590,16.680041,16.583632,11.383631,0.000000,5.265459,5.229306,0.035986,0.084959,0.016708,0.607375,660,8060497,148539,0,9251,0,2,9249,0,4680,4569,0,0
17591,16.658709,16.506204,11.106334,0.000000,5.427249,5.357055,0.069986,0.065958,0.019875,0.758375,632,8064768,144820,0,5408,0,2,5406,0,3510,1896,0,0
17592,16.659291,16.539385,11.499162,0.000000,5.593417,5.592846,0.000279,0.062334,0.022833,0.684125,633,8080246,143465,0,5408,0,2,5406,0,3510,1896,0,0
17593,16.683417,16.567743,11.169133,0.000000,5.448917,5.364598,0.084111,0.069167,0.012875,0.472500,643,8086669,145648,0,7210,0,2,7208,0,4680,2528,0,0
17594,16.676250,16.587307,11.384623,0.000000,5.283416,5.260555,0.022528,0.067500,0.049750,1.179917,630,8079968,146293,0,5408,0,2,5406,0,3510,1896,0,0
17595,16.749958,16.599409,11.056772,0.000000,5.559333,5.453638,0.105403,0.068375,0.014084,0.639583,634,8080228,144145,0,5408,0,2,5406,0,3510,1896,0,0
17596,16.666000,16.559997,11.022166,0.000000,5.538709,5.447014,0.091403,0.077750,0.025792,1.278958,640,8071001,144520,0,7210,0,2,7208,0,4680,2528,0,0
17597,16.504667,16.376627,11.011506,0.000000,5.369708,5.317014,0.052236,0.057500,0.043708,0.610125,639,8140597,149025,0,5685,0,2,5683,0,3510,2173,0,0
